enterprise,record_num_mf_ctf,state_fips,cbsa_metro_code,county_fips,tract_2020,tract_minority_pct,tract_income_med,ami_local,tract_income_ratio,ami_hud,upb_acq,purpose_ctf,seller_type_mf_ctf,fed_guarantee_ctf,lien_status,ltv,same_year_acq,term_orig,units_num_cat,rate_orig,upb_orig,property_value,term_prepay_penalty,balloon,io,neg_am,non_amort_other,afford_units_pct,construct_method,tract_rural,county_lower_ms_delta,county_mid_appalachia,county_persistent_poverty,area_concentrated_poverty,area_high_opp,tract_colonias
1,10002178,48,19100,439,111536,87.09,64917,99957,0.6495,107300,19395000,2,1,1,1,70.00,1,60,5,5.660,19395000,27705000,57,1,1,9,9,35,1,0,0,0,0,0,0,0
1,10002179,27,20260,075,370400,6.50,70833,90540,0.7823,95600,2545000,7,1,1,1,41.40,1,120,2,5.180,2545000,6145000,117,1,1,9,9,0,1,1,0,0,0,0,0,0
1,10002180,06,23420,019,005607,55.88,44938,76092,0.5906,84300,9005000,7,1,1,1,32.60,1,120,5,5.560,9005000,27605000,117,1,1,9,9,0,1,0,0,0,0,0,0,0
1,10002181,51,47260,700,032128,68.90,57446,95214,0.6033,100000,12345000,1,1,1,1,69.80,1,120,4,5.210,12345000,17705000,117,1,1,9,9,0,1,0,0,0,0,0,0,0
1,10002182,51,40060,087,200151,44.33,138035,104391,1.3223,110000,5975000,9,1,1,2,68.50,1,96,5,7.830,5975000,55605000,93,1,1,9,9,0,1,0,0,0,0,0,0,0
1,10002183,37,16740,007,920301,31.17,62350,93744,0.6651,100300,1095000,1,1,1,1,73.40,1,360,1,6.510,1095000,2155000,357,1,9,9,9,100,1,1,0,0,0,0,0,0
1,10002184,18,26900,097,310306,91.85,63981,93688,0.6829,101200,6005000,7,1,1,1,27.60,1,120,5,5.890,6005000,21705000,117,1,1,9,9,0,1,0,0,0,0,1,0,0
1,10002185,20,28140,091,053007,25.47,127083,99766,1.2738,103000,3525000,9,1,1,2,61.30,1,104,5,7.920,3525000,28805000,101,1,1,9,9,45,1,0,0,0,0,0,1,0
1,10002186,38,99999,053,962301,17.74,122571,102045,1.2012,108300,1885000,9,3,1,2,54.30,1,69,4,7.030,1885000,17775000,66,1,1,9,9,0,1,1,0,0,0,0,0,0
1,10002187,49,39340,049,001107,25.17,91477,100078,0.9141,109500,78375000,7,1,1,1,53.30,2,120,5,5.540,78375000,146935000,117,1,1,9,9,0,1,0,0,0,0,0,0,0
1,10002188,12,45300,103,021600,51.53,101875,84454,1.2063,92000,15085000,1,1,1,2,65.00,1,69,5,7.060,15085000,81005000,66,1,1,9,9,0,1,0,0,0,0,1,0,0
1,10002189,09,14860,190,021602,61.33,87418,135149,0.6468,145700,74315000,7,1,1,1,63.50,1,60,5,5.070,74315000,117005000,57,1,1,9,9,0,1,0,0,0,0,0,0,0
1,10002190,34,35620,013,014600,80.00,100809,113844,0.8855,119300,70875000,7,1,1,1,64.20,1,60,5,5.340,70875000,110405000,57,1,1,9,9,0,1,0,0,0,0,0,0,0
1,10002191,48,21340,141,000206,88.92,51957,61466,0.8453,63100,1775000,2,1,1,1,78.30,1,120,2,5.110,18925000,2265000,117,1,1,9,9,100,1,0,0,0,0,0,0,0
1,10002192,22,12940,033,003804,32.50,112083,87118,1.2866,86800,17145000,7,3,1,1,65.00,2,120,5,5.770,17145000,26375000,117,1,1,9,9,0,1,0,0,0,0,0,0,0
1,10002193,06,41860,001,406000,78.40,82361,154003,0.5348,166600,11835000,7,5,1,1,57.70,1,120,3,5.460,11835000,20505000,117,1,1,9,9,60,1,0,0,0,0,1,0,0
1,10002194,36,35620,047,052300,65.59,61500,113844,0.5402,119300,8935000,7,1,1,1,51.30,1,60,1,5.900,8935000,17405000,57,1,1,9,9,0,1,0,0,0,0,0,0,0
1,10002195,53,42660,033,030003,56.25,81583,127870,0.6380,136600,16755000,7,1,1,1,37.30,1,84,5,5.360,16755000,44855000,81,1,1,9,9,0,1,0,0,0,0,0,0,0
1,10002196,04,46060,019,000100,39.79,134464,82620,1.6275,90200,7715000,7,1,1,1,58.00,1,120,3,5.950,7715000,13305000,117,1,1,9,9,0,1,0,0,0,0,0,0,0
1,10002197,29,44180,077,002700,18.98,69875,75885,0.9208,80500,13355000,7,5,1,1,65.00,1,60,4,5.480,13355000,20555000,57,1,1,9,9,0,1,0,0,0,0,1,0,0
1,10002198,04,38060,013,104302,51.75,0,93191,0.0000,101300,25765000,7,1,1,1,66.20,1,60,5,4.930,25765000,38905000,57,1,1,9,9,0,1,0,0,0,0,1,0,0
1,10002199,19,16300,113,001102,17.53,93516,95503,0.9792,101700,25765000,1,1,1,1,75.00,1,120,5,5.390,25765000,34355000,117,1,1,9,9,0,1,0,0,0,0,0,0,0
1,10002200,09,14860,120,071300,93.69,34822,135149,0.2577,145700,5255000,7,1,1,1,65.60,2,60,2,6.490,5255000,8005000,57,1,1,9,9,0,1,0,0,0,0,1,0,0
