cbsa_metro_code,cbsa_metro_name
25980,"Hinesville, GA Metro Area"
26140,"Homosassa Springs, FL Metro Area"
26300,"Hot Springs, AR Metro Area"
26380,"Houma-Bayou Cane-Thibodaux, LA Metro Area"
26420,"Houston-Pasadena-The Woodlands, TX Metro Area"
26580,"Huntington-Ashland, WV-KY-OH Metro Area"
26620,"Huntsville, AL Metro Area"
26820,"Idaho Falls, ID Metro Area"
26900,"Indianapolis-Carmel-Greenwood, IN Metro Area"
26980,"Iowa City, IA Metro Area"
27060,"Ithaca, NY Metro Area"
27100,"Jackson, MI Metro Area"
27140,"Jackson, MS Metro Area"
27180,"Jackson, TN Metro Area"
27260,"Jacksonville, FL Metro Area"
27340,"Jacksonville, NC Metro Area"
27500,"Janesville-Beloit, WI Metro Area"
27620,"Jefferson City, MO Metro Area"
27740,"Johnson City, TN Metro Area"
27780,"Johnstown, PA Metro Area"
27860,"Jonesboro, AR Metro Area"
27900,"Joplin, MO-KS Metro Area"
27980,"Kahului-Wailuku, HI Metro Area"
28020,"Kalamazoo-Portage, MI Metro Area"
28100,"Kankakee, IL Metro Area"
28140,"Kansas City, MO-KS Metro Area"
28420,"Kennewick-Richland, WA Metro Area"
28450,"Kenosha, WI Metro Area"
28660,"Killeen-Temple, TX Metro Area"
28700,"Kingsport-Bristol, TN-VA Metro Area"
28740,"Kingston, NY Metro Area"
28880,"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area"
28940,"Knoxville, TN Metro Area"
29020,"Kokomo, IN Metro Area"
29100,"La Crosse-Onalaska, WI-MN Metro Area"
29180,"Lafayette, LA Metro Area"
29200,"Lafayette-West Lafayette, IN Metro Area"
29340,"Lake Charles, LA Metro Area"
29420,"Lake Havasu City-Kingman, AZ Metro Area"
29460,"Lakeland-Winter Haven, FL Metro Area"
29540,"Lancaster, PA Metro Area"
29620,"Lansing-East Lansing, MI Metro Area"
29700,"Laredo, TX Metro Area"
29740,"Las Cruces, NM Metro Area"
29820,"Las Vegas-Henderson-North Las Vegas, NV Metro Area"
29940,"Lawrence, KS Metro Area"
30020,"Lawton, OK Metro Area"
30140,"Lebanon, PA Metro Area"
30300,"Lewiston, ID-WA Metro Area"
30340,"Lewiston-Auburn, ME Metro Area"
30460,"Lexington-Fayette, KY Metro Area"
30500,"Lexington Park, MD Metro Area"
30620,"Lima, OH Metro Area"
30700,"Lincoln, NE Metro Area"
30780,"Little Rock-North Little Rock-Conway, AR Metro Area"
30860,"Logan, UT-ID Metro Area"
30980,"Longview, TX Metro Area"
31020,"Longview-Kelso, WA Metro Area"
31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area"
31140,"Louisville/Jefferson County, KY-IN Metro Area"
31180,"Lubbock, TX Metro Area"
31340,"Lynchburg, VA Metro Area"
31420,"Macon-Bibb County, GA Metro Area"
31540,"Madison, WI Metro Area"
31700,"Manchester-Nashua, NH Metro Area"
31740,"Manhattan, KS Metro Area"
31860,"Mankato, MN Metro Area"
31900,"Mansfield, OH Metro Area"
32420,"Mayagüez, PR Metro Area"
32580,"McAllen-Edinburg-Mission, TX Metro Area"
32780,"Medford, OR Metro Area"
32820,"Memphis, TN-MS-AR Metro Area"
32900,"Merced, CA Metro Area"
33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area"
33140,"Michigan City-La Porte, IN Metro Area"
33220,"Midland, MI Metro Area"
33260,"Midland, TX Metro Area"
33340,"Milwaukee-Waukesha, WI Metro Area"
33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area"
33500,"Minot, ND Metro Area"
33540,"Missoula, MT Metro Area"
33660,"Mobile, AL Metro Area"
33700,"Modesto, CA Metro Area"
33740,"Monroe, LA Metro Area"
33780,"Monroe, MI Metro Area"
33860,"Montgomery, AL Metro Area"
34060,"Morgantown, WV Metro Area"
34100,"Morristown, TN Metro Area"
34580,"Mount Vernon-Anacortes, WA Metro Area"
34620,"Muncie, IN Metro Area"
34740,"Muskegon-Norton Shores, MI Metro Area"
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area"
34900,"Napa, CA Metro Area"
34940,"Naples-Marco Island, FL Metro Area"
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area"
35300,"New Haven, CT Metro Area"
35380,"New Orleans-Metairie, LA Metro Area"
35620,"New York-Newark-Jersey City, NY-NJ Metro Area"
35660,"Niles, MI Metro Area"
35840,"North Port-Bradenton-Sarasota, FL Metro Area"
35980,"Norwich-New London-Willimantic, CT Metro Area"
36100,"Ocala, FL Metro Area"
36220,"Odessa, TX Metro Area"
36260,"Ogden, UT Metro Area"
36420,"Oklahoma City, OK Metro Area"
36500,"Olympia-Lacey-Tumwater, WA Metro Area"
36540,"Omaha, NE-IA Metro Area"
36740,"Orlando-Kissimmee-Sanford, FL Metro Area"
36780,"Oshkosh-Neenah, WI Metro Area"
36980,"Owensboro, KY Metro Area"
37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area"
37140,"Paducah, KY-IL Metro Area"
37340,"Palm Bay-Melbourne-Titusville, FL Metro Area"
37460,"Panama City-Panama City Beach, FL Metro Area"
37620,"Parkersburg-Vienna, WV Metro Area"
37860,"Pensacola-Ferry Pass-Brent, FL Metro Area"
37900,"Peoria, IL Metro Area"
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area"
38060,"Phoenix-Mesa-Chandler, AZ Metro Area"
38240,"Pinehurst-Southern Pines, NC Metro Area"
38300,"Pittsburgh, PA Metro Area"
38340,"Pittsfield, MA Metro Area"
38540,"Pocatello, ID Metro Area"
38660,"Ponce, PR Metro Area"
38860,"Portland-South Portland, ME Metro Area"
38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area"
38940,"Port St. Lucie, FL Metro Area"
39150,"Prescott Valley-Prescott, AZ Metro Area"
39300,"Providence-Warwick, RI-MA Metro Area"
39340,"Provo-Orem-Lehi, UT Metro Area"
39380,"Pueblo, CO Metro Area"
39460,"Punta Gorda, FL Metro Area"
39540,"Racine-Mount Pleasant, WI Metro Area"
39580,"Raleigh-Cary, NC Metro Area"
39660,"Rapid City, SD Metro Area"
39740,"Reading, PA Metro Area"
39820,"Redding, CA Metro Area"
39900,"Reno, NV Metro Area"
40060,"Richmond, VA Metro Area"
40140,"Riverside-San Bernardino-Ontario, CA Metro Area"
40220,"Roanoke, VA Metro Area"
40340,"Rochester, MN Metro Area"
40380,"Rochester, NY Metro Area"
40420,"Rockford, IL Metro Area"
40580,"Rocky Mount, NC Metro Area"
40660,"Rome, GA Metro Area"
40900,"Sacramento-Roseville-Folsom, CA Metro Area"
40980,"Saginaw, MI Metro Area"
41060,"St. Cloud, MN Metro Area"
41100,"St. George, UT Metro Area"
41140,"St. Joseph, MO-KS Metro Area"
41180,"St. Louis, MO-IL Metro Area"
41420,"Salem, OR Metro Area"
41500,"Salinas, CA Metro Area"
41540,"Salisbury, MD Metro Area"
41620,"Salt Lake City-Murray, UT Metro Area"
41660,"San Angelo, TX Metro Area"
41700,"San Antonio-New Braunfels, TX Metro Area"
41740,"San Diego-Chula Vista-Carlsbad, CA Metro Area"
41780,"Sandusky, OH Metro Area"
41860,"San Francisco-Oakland-Fremont, CA Metro Area"
41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area"
41980,"San Juan-Bayamón-Caguas, PR Metro Area"
42020,"San Luis Obispo-Paso Robles, CA Metro Area"
42100,"Santa Cruz-Watsonville, CA Metro Area"
42140,"Santa Fe, NM Metro Area"
42200,"Santa Maria-Santa Barbara, CA Metro Area"
42220,"Santa Rosa-Petaluma, CA Metro Area"
42340,"Savannah, GA Metro Area"
42540,"Scranton--Wilkes-Barre, PA Metro Area"
42660,"Seattle-Tacoma-Bellevue, WA Metro Area"
42680,"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area"
42700,"Sebring, FL Metro Area"
43100,"Sheboygan, WI Metro Area"
43300,"Sherman-Denison, TX Metro Area"
43340,"Shreveport-Bossier City, LA Metro Area"
43420,"Sierra Vista-Douglas, AZ Metro Area"
43580,"Sioux City, IA-NE-SD Metro Area"
43620,"Sioux Falls, SD-MN Metro Area"
43640,"Slidell-Mandeville-Covington, LA Metro Area"
43780,"South Bend-Mishawaka, IN-MI Metro Area"
43900,"Spartanburg, SC Metro Area"
44060,"Spokane-Spokane Valley, WA Metro Area"
44100,"Springfield, IL Metro Area"
44140,"Springfield, MA Metro Area"
44180,"Springfield, MO Metro Area"
44220,"Springfield, OH Metro Area"
44300,"State College, PA Metro Area"
44420,"Staunton-Stuarts Draft, VA Metro Area"
44700,"Stockton-Lodi, CA Metro Area"
44940,"Sumter, SC Metro Area"
45060,"Syracuse, NY Metro Area"
45220,"Tallahassee, FL Metro Area"
45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area"
45460,"Terre Haute, IN Metro Area"
45500,"Texarkana, TX-AR Metro Area"
45780,"Toledo, OH Metro Area"
45820,"Topeka, KS Metro Area"
45900,"Traverse City, MI Metro Area"
45940,"Trenton-Princeton, NJ Metro Area"
46060,"Tucson, AZ Metro Area"
46140,"Tulsa, OK Metro Area"
46220,"Tuscaloosa, AL Metro Area"
46300,"Twin Falls, ID Metro Area"
46340,"Tyler, TX Metro Area"
46520,"Urban Honolulu, HI Metro Area"
46540,"Utica-Rome, NY Metro Area"
46660,"Valdosta, GA Metro Area"
46700,"Vallejo, CA Metro Area"
47020,"Victoria, TX Metro Area"
47220,"Vineland, NJ Metro Area"
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area"
47300,"Visalia, CA Metro Area"
47380,"Waco, TX Metro Area"
47460,"Walla Walla, WA Metro Area"
47580,"Warner Robins, GA Metro Area"
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
47930,"Waterbury-Shelton, CT Metro Area"
47940,"Waterloo-Cedar Falls, IA Metro Area"
48060,"Watertown-Fort Drum, NY Metro Area"
48140,"Wausau, WI Metro Area"
48260,"Weirton-Steubenville, WV-OH Metro Area"
48300,"Wenatchee-East Wenatchee, WA Metro Area"
48540,"Wheeling, WV-OH Metro Area"
48620,"Wichita, KS Metro Area"
48660,"Wichita Falls, TX Metro Area"
48680,"Wildwood-The Villages, FL Metro Area"
48700,"Williamsport, PA Metro Area"
48900,"Wilmington, NC Metro Area"
49020,"Winchester, VA-WV Metro Area"
49180,"Winston-Salem, NC Metro Area"
49340,"Worcester, MA Metro Area"
49420,"Yakima, WA Metro Area"
49620,"York-Hanover, PA Metro Area"
49660,"Youngstown-Warren, OH Metro Area"
49700,"Yuba City, CA Metro Area"
49740,"Yuma, AZ Metro Area"
