enterprise,record_num_mf_ctf,state_fips,cbsa_metro_code,county_fips,tract_2020,tract_minority_pct,tract_income_med,ami_local,tract_income_ratio,ami_hud,upb_acq,purpose_ctf,seller_type_mf_ctf,fed_guarantee_ctf,lien_status,ltv,same_year_acq,term_orig,units_num_cat,rate_orig,upb_orig,property_value,term_prepay_penalty,balloon,io,neg_am,non_amort_other,afford_units_pct,construct_method,tract_rural,county_lower_ms_delta,county_mid_appalachia,county_persistent_poverty,area_concentrated_poverty,area_high_opp,tract_colonias
2,20000101,48,12420,491,021203,51.17,70580,115204,0.6127,126000,1825000,7,1,1,1,64.14,1,60,1,6.270,1825000,2855000,36,1,1,9,9,0,1,0,0,0,0,1,0,0
2,20000102,12,37340,009,071201,24.71,127765,87701,1.4568,99700,40515000,1,1,1,1,59.58,1,60,5,5.060,40515000,68005000,57,1,1,9,9,0,1,0,0,0,0,0,1,0
2,20000103,12,45300,057,010402,77.29,44016,84454,0.5212,92000,38025000,7,1,1,1,62.65,2,120,5,6.250,38025000,60705000,114,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000104,39,17140,025,041505,7.92,141705,97826,1.4485,103700,18935000,2,1,1,1,61.29,1,60,5,5.440,18935000,30905000,57,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000105,48,19100,113,007916,32.48,126250,99957,1.2630,107300,44355000,7,1,1,1,50.00,1,60,5,4.930,44355000,88705000,57,1,1,9,9,0,1,0,0,0,0,0,1,0
2,20000106,32,29820,003,007900,54.20,58438,82358,0.7096,87800,6355000,7,1,1,1,66.84,1,60,3,6.040,6355000,9505000,36,1,1,9,9,0,1,0,0,0,0,1,0,0
2,20000107,41,38900,067,031813,35.40,160561,110489,1.4532,116900,15255000,1,1,1,1,70.00,1,120,4,5.180,15255000,21785000,114,1,9,9,9,0,1,0,0,0,0,0,1,0
2,20000108,29,28140,095,006900,23.39,166333,99766,1.6672,103000,2915000,2,1,1,1,61.92,1,60,2,6.370,2915000,4705000,36,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000109,48,19100,439,105008,64.48,63385,99957,0.6341,107300,30225000,2,1,1,1,59.73,1,60,5,5.080,30225000,50605000,36,1,1,9,9,0,1,0,0,0,0,0,1,0
2,20000110,17,16980,031,802605,29.60,132344,106055,1.2479,109800,94505000,7,1,1,1,64.16,1,120,5,5.780,94505000,147305000,114,1,1,9,9,0,1,0,0,0,0,0,1,0
2,20000111,29,28140,047,020602,46.41,54722,99766,0.5485,103000,7205000,7,1,1,1,64.32,1,120,3,6.160,7205000,11205000,84,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000112,53,42660,033,010502,25.78,145237,127870,1.1358,136600,3025000,7,1,1,1,59.37,1,84,1,5.820,3025000,5105000,84,1,1,9,9,0,1,0,0,0,0,0,1,0
2,20000113,13,12060,067,030910,83.56,74598,98569,0.7568,106100,17875000,2,1,1,1,56.05,1,60,5,4.930,17875000,31905000,36,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000114,01,13820,117,030212,48.32,91750,87341,1.0505,94200,66435000,2,1,1,1,70.00,1,84,5,5.060,66435000,94905000,78,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000115,06,31080,037,920047,84.63,64507,101056,0.6383,105700,102815000,7,1,1,1,63.43,1,60,5,5.200,102815000,162105000,57,1,1,9,9,0,1,0,0,0,0,1,0,0
2,20000116,06,40900,067,006003,48.32,61776,106925,0.5778,113700,3155000,2,1,1,1,44.30,2,60,2,6.670,3155000,7115000,36,1,1,9,9,0,1,0,0,0,0,1,0,0
2,20000117,36,35620,119,000401,88.45,48583,113844,0.4268,119300,58385000,1,1,1,1,68.69,1,60,5,5.800,58385000,85005000,57,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000118,06,41940,085,501602,82.36,42119,172303,0.2445,180400,1505000,2,1,1,4,61.60,2,360,1,3.250,1505000,3495000,59,9,1,9,9,0,1,0,0,0,0,1,0,0
2,20000119,37,16740,119,006113,62.19,117713,93744,1.2557,100300,25375000,2,1,1,1,59.71,1,60,5,5.110,25375000,42505000,57,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000120,42,10900,077,006500,22.06,79203,96828,0.8180,101400,1985000,7,1,1,1,64.98,1,120,1,5.880,1985000,3055000,84,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000121,48,19100,113,007205,97.94,40988,99957,0.4101,107300,10875000,1,1,1,1,72.99,1,60,5,4.910,10875000,14905000,57,1,1,9,9,0,1,0,0,0,0,1,0,0
2,20000122,18,26900,057,111011,25.41,75746,93688,0.8085,101200,43405000,1,5,1,1,67.20,2,36,5,6.000,43405000,57105000,12,1,1,9,9,0,1,0,0,0,0,0,1,0
